weight,building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation,Room Name,Candidacy,High Volume
55.9422825070159,2,300 BABCOCK STREET,42.3542,-71.1212,Athletic,183,21.742282507015904,114,0.1188102869235841,0.6229508196721312,,Yes,,,
54.77361909454207,5,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,22.67361909454207,107,0.3542752983522198,1.671875,Large Dormitory-Style,Yes,,,
51.75603511338698,4,512 BEACON STREET,42.3509,-71.0903,Residential,30,6.752011704462326,35,0.2250670568154108,1.1666666666666667,Large Dormitory-Style,No,,,
50.743809073724,5,3 - 5 CUMMINGTON MALL,42.3487,-71.1013,Research,118,6.114603024574669,36,0.0518186696997853,0.3050847457627119,,,,,
49.02905062004472,5,264-270 BAY STATE ROAD,42.3507,-71.1054,Academic,62,6.143016873348241,34,0.0990809173120684,0.5483870967741935,,No,,,
47.03643786886572,4,610 BEACON STREET,42.3497,-71.0945,Residential,105,19.73643786886572,91,0.1879660749415782,0.8666666666666667,Large Dormitory-Style,Yes,,,
45.83760399334442,2,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,9.718801996672212,44,0.1647254575707154,0.7457627118644068,Large Dormitory-Style,Partial,,,
45.811379050489826,1,619 MEMORIAL DRIVE,42.3532,-71.1078,Athletic,71,11.611379050489829,114,0.1635405500068989,1.6056338028169015,,Yes,,,
43.81489801950931,-1,718 COMMONWEALTH AVENUE,42.3495,-71.1058,Academic,0,4.404966006503104,34,inf,inf,,No,,,
42.527978660343805,5,512 BEACON STREET,42.3509,-71.0903,Residential,30,5.475992886781269,29,0.1825330962260422,0.9666666666666668,Large Dormitory-Style,No,,,
