building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation,Room Name,Candidacy,High Volume,high_volumn
4,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,2.9437426309583965,16,0.0446021610751272,0.2424242424242424,Large Dormitory-Style,Partial,,,,False
k,30 HARRY AGGANIS WAY,42.3529,-71.1189,Administrative,0,2.942277892561984,110,inf,inf,,No,,,,False
5,2 SILBER WAY,42.3497,-71.1009,Academic,27,2.8875101159967627,18,0.1069448191109912,0.6666666666666666,,Yes,,,,False
2,225 BAY STATE ROAD,42.3509,-71.1036,Student Support,18,2.8508942457231727,24,0.1583830136512873,1.3333333333333333,,Yes,,,,False
3,67 BAY STATE ROAD,42.3502,-71.0959,Academic,10,2.787709497206704,16,0.2787709497206704,1.6,,No,,,,False
-1,121 BAY STATE ROAD,42.3504,-71.0988,Administrative,0,2.779759519038076,25,inf,inf,,No,,,,False
E,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,2.746068724519511,12,inf,inf,Large Dormitory-Style,Partial,,,,False
3,718 COMMONWEALTH AVENUE,42.3495,-71.1058,Academic,24,2.741014348629067,17,0.1142089311928777,0.7083333333333334,,No,,,,False
-1,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,2.686550574286773,37,inf,inf,Large Dormitory-Style,Partial,,,,False
3,121 BAY STATE ROAD,42.3504,-71.0988,Administrative,14,2.597286164283984,18,0.1855204403059988,1.2857142857142858,,No,,,,False
1,285 BABCOCK STREET,42.354,-71.1203,Athletic,80,2.583029197080292,12,0.0322878649635036,0.15,,Yes,,,,False
2,128 BAY STATE ROAD,42.35,-71.0991,Academic,8,2.5153846153846158,16,0.3144230769230769,2.0,,No,,,,False
10,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,0,2.481094127111826,17,inf,inf,,Yes,,,,False
11,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,2.422120418848168,10,0.047492557232317,0.196078431372549,Large Dormitory-Style,Yes,,,,False
4,154 BAY STATE ROAD,42.3501,-71.1007,Academic,11,2.37403400309119,18,0.21582127300829,1.6363636363636365,,No,,,,False
r,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,0,2.3612935826174835,17,inf,inf,,Yes,,,,False
-1,118 BAY STATE ROAD,42.35,-71.0986,Academic,0,2.3191489361702127,12,inf,inf,,No,,,,False
-1,30-38 CUMMINGTON MALL,42.3484,-71.1023,Research,0,2.316190476190476,13,inf,inf,,Yes,,,,False
3,152 BAY STATE ROAD,,,Academic,11,2.31484794275492,18,0.210440722068629,1.6363636363636365,,No,,,,False
2,185 BAY STATE ROAD,42.3507,-71.1018,Academic,9,2.3040841083704,10,0.2560093453744889,1.1111111111111112,,No,,,,False
2,156 BAY STATE ROAD,42.3502,-71.1007,Academic,7,2.291383528132645,10,0.3273405040189492,1.4285714285714286,,Yes,,,,False
-1,185 BAY STATE ROAD,42.3507,-71.1018,Academic,0,2.280204081632653,14,inf,inf,,No,,,,False
3,122 BAY STATE ROAD,42.35,-71.0988,Administrative,9,2.260141093474427,11,0.2511267881638252,1.2222222222222223,,No,,,,False
