building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type
9,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,12.486826967326277,58,0.09388591704756599,0.43609022556390975,Large Dormitory-Style
11,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,30.89797526971772,291,0.23231560353171218,2.18796992481203,Large Dormitory-Style
15,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,11.341184867951464,57,0.0852720666763268,0.42857142857142855,Large Dormitory-Style
16,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,16.771060821859997,90,0.12609820166812027,0.6766917293233082,Large Dormitory-Style
13,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,9.823814133591481,45,0.07386326416234197,0.3383458646616541,Large Dormitory-Style
12,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,19.055944055944057,84,0.14327777485672222,0.631578947368421,Large Dormitory-Style
p,30 HARRY AGGANIS WAY,42.3529,-71.1189,Administrative,0,53.272348565356005,1651,inf,inf,
w,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,17.981918633852334,83,inf,inf,Large Dormitory-Style
b,187 BAY STATE ROAD,42.3507,-71.1019,Academic,0,4.357958010279641,28,inf,inf,
e,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,18.28420929415896,84,inf,inf,Large Dormitory-Style
g,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,23.7316329985329,146,inf,inf,
b,2 SILBER WAY,42.3497,-71.1009,Academic,0,3.421990171990172,23,inf,inf,
a,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,3.0260445682451254,93,inf,inf,Large Dormitory-Style
b,48-52 CUMMINGTON MALL,42.3486,-71.1033,Research,0,3.884467120181406,26,inf,inf,
2,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,317,10.771654824537615,90,0.033979983673620234,0.28391167192429023,
1,163-179 AMORY STREET,42.3502,-71.1136,Administrative,103,62.57086306323917,411,0.6074841074100891,3.9902912621359223,
4,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,8.171127215326111,34,0.1384936816156968,0.576271186440678,Large Dormitory-Style
2,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,9.718801996672212,44,0.16472545757071547,0.7457627118644068,Large Dormitory-Style
7,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,7.399841132293472,38,0.12542103614056732,0.6440677966101694,Large Dormitory-Style
6,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,8.206209554279067,32,0.13908829753015367,0.5423728813559322,Large Dormitory-Style
3,91 BAY STATE ROAD,42.3503,-71.097,Residential,59,8.350674231817846,37,0.14153685138674316,0.6271186440677966,Large Dormitory-Style
4,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,2.9437426309583965,16,0.04460216107512722,0.24242424242424243,Large Dormitory-Style
2,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,4.105628616517622,25,0.06220649418966094,0.3787878787878788,Large Dormitory-Style
6,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,3.6754056193114364,16,0.05568796392896116,0.24242424242424243,Large Dormitory-Style
8,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,100,9.086981383823623,90,0.09086981383823624,0.9,Large Dormitory-Style
6,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,14.80524243568308,82,0.23133191305754813,1.28125,Large Dormitory-Style
5,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,15.343795341733486,59,0.2691893919602366,1.0350877192982457,Large Dormitory-Style
1,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,50,72.45283836487071,661,1.4490567672974144,13.22,Large Dormitory-Style
4,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,14.998046557056812,73,0.26312362380801424,1.280701754385965,Large Dormitory-Style
2,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,14.555356523748989,83,0.2553571319955963,1.456140350877193,Large Dormitory-Style
6,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,13.84644405201477,60,0.24292007108797842,1.0526315789473684,Large Dormitory-Style
8,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,7.215624239474325,31,0.14148282822498676,0.6078431372549019,Large Dormitory-Style
5,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,9.065597046713048,38,0.17775680483751075,0.7450980392156863,Large Dormitory-Style
1,273 BABCOCK STREET,42.3525,-71.1198,Residential,60,34.12708274498729,209,0.5687847124164549,3.4833333333333334,Large Dormitory-Style
4,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,7.329221575237511,35,0.1437102269654414,0.6862745098039216,Large Dormitory-Style
9,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,11.303672479501097,87,0.2216406368529627,1.7058823529411764,Large Dormitory-Style
2,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,7.486340084785681,76,0.14679098205462118,1.4901960784313726,Large Dormitory-Style
7,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,9.027411702688456,38,0.17700807260173443,0.7450980392156863,Large Dormitory-Style
6,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,6.384264978381717,31,0.12518166624277877,0.6078431372549019,Large Dormitory-Style
8,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,6.171406933692359,29,0.1164416402583464,0.5471698113207547,Large Dormitory-Style
5,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,13.340401337792642,83,0.2517056856187291,1.5660377358490567,Large Dormitory-Style
1,275 BABCOCK STREET,42.3528,-71.1204,Residential,250,69.18003565062389,715,0.27672014260249556,2.86,Large Dormitory-Style
4,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,9.03768096780591,44,0.17052228241143227,0.8301886792452831,Large Dormitory-Style
9,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,9.575748435261293,48,0.18067449877851496,0.9056603773584906,Large Dormitory-Style
2,275 BABCOCK STREET,42.3528,-71.1204,Residential,62,13.3989239046887,219,0.21611167588207583,3.532258064516129,Large Dormitory-Style
7,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,11.333430000725006,45,0.21383830190047182,0.8490566037735849,Large Dormitory-Style
3,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,12.456907915385099,70,0.23503599840349243,1.320754716981132,Large Dormitory-Style
11,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,7.407713833799733,37,0.14245603526537948,0.7115384615384616,Large Dormitory-Style
5,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,11.168478260869565,66,0.21477842809364547,1.2692307692307692,Large Dormitory-Style
1,277 BABCOCK STREET,42.3535,-71.1206,Residential,80,36.04446768250174,209,0.45055584603127175,2.6125,Large Dormitory-Style
4,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,9.017851739788199,46,0.17342022576515767,0.8846153846153846,Large Dormitory-Style
9,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,12.41150248465361,48,0.2386827400894925,0.9230769230769231,Large Dormitory-Style
2,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,7.535210144349629,54,0.14490788739133903,1.0384615384615385,Large Dormitory-Style
7,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,11.940161346895826,48,0.22961848744030433,0.9230769230769231,Large Dormitory-Style
6,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,8.96516129032258,43,0.17240694789081884,0.8269230769230769,Large Dormitory-Style
3,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,12.220362257241876,73,0.2350069664854207,1.4038461538461537,Large Dormitory-Style
13,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,6.398334149926507,27,0.12304488749858668,0.5192307692307693,Large Dormitory-Style
12,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,6.039430449069004,28,0.116142893251327,0.5384615384615384,Large Dormitory-Style
1,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,142,30.577269433806023,239,0.21533288333666215,1.6830985915492958,
