building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
2,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,312,25.03154015506844,204,0.0802292953688091,0.6538461538461539,,Yes
2,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,382,24.895999374902328,538,0.0651727732327286,1.4083769633507854,,Yes
1,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,167,24.78191586232016,343,0.1483947057623962,2.053892215568862,,Yes
3,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,24.609026337293358,211,inf,inf,,Partial
4,871 COMMONWEALTH AVENUE,42.3515,-71.1146,Academic,115,24.57164984243978,183,0.2136665203690415,1.5913043478260869,,Yes
3,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,172,23.853312636703592,143,0.1386820502133929,0.8313953488372093,,Yes
1,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,243,23.835074717531285,155,0.098086727232639,0.6378600823045267,,Yes
1,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,93,23.79779900834442,296,0.2558903119176819,3.182795698924731,,Yes
6,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,23.787350362899424,135,0.1788522583676648,1.0150375939849623,Large Dormitory-Style,Partial
1,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,23.7316329985329,146,inf,inf,,Yes
3,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,120,23.71350393495596,222,0.1976125327912996,1.85,,Yes
1,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,103,22.904759386567957,153,0.2223763047239607,1.4854368932038835,,Yes
2,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,183,22.721210673989614,196,0.1241596211693421,1.0710382513661203,,Yes
1,3 - 5 CUMMINGTON MALL,42.3487,-71.1013,Research,131,21.88378774222623,143,0.1670518148261544,1.0916030534351144,,
2,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,210,21.575636206790318,127,0.1027411247942396,0.6047619047619047,,Yes
-1,24 CUMMINGTON MALL,42.3483,-71.1017,Research,0,21.26892916827356,180,inf,inf,,Yes
3,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,70,20.905563144169875,243,0.2986509020595696,3.4714285714285715,,Yes
4,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,82,20.676975319871445,148,0.2521582356081883,1.804878048780488,,Yes
8,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,20.643093528842726,91,0.1552112295401709,0.6842105263157895,Large Dormitory-Style,Partial
2,900 COMMONWEALTH AVENUE,42.3506,-71.1162,Academic,206,20.48556504156369,118,0.0994444904930276,0.5728155339805825,,Yes
3,540 COMMONWEALTH AVENUE,,,Academic,16,20.448388345220323,339,1.2780242715762702,21.1875,,Yes
1,91 BAY STATE ROAD,42.3503,-71.097,Residential,262,20.3574635552353,142,0.0777002425772339,0.5419847328244275,Large Dormitory-Style,Partial
5,765 COMMONWEALTH AVENUE,42.351,-71.1074,Academic,229,19.900283585042537,113,0.0869008016814084,0.4934497816593886,,Yes
1,8 ST. MARY'S STREET,42.3492,-71.1061,Research,136,19.815824031516744,167,0.1457045884670348,1.2279411764705883,,Yes
1,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,60,19.55819339895773,190,0.3259698899826288,3.1666666666666665,Large Dormitory-Style,Yes
3,610 BEACON STREET,42.3497,-71.0945,Residential,105,19.515420995189785,87,0.1858611523351407,0.8285714285714286,Large Dormitory-Style,Yes
-1,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,0,19.151018496839143,179,inf,inf,,Partial
7,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,224,19.078216060364397,124,0.085170607412341,0.5535714285714286,,Yes
12,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,19.055944055944057,84,0.1432777748567222,0.631578947368421,Large Dormitory-Style,Partial
-1,111 CUMMINGTON MALL,42.3491,-71.104,Research,0,18.691062523973915,124,inf,inf,,Yes
2,1 UNIVERSITY ROAD,42.3512,-71.11,Academic,117,18.59121087575087,168,0.1588992382542809,1.435897435897436,,Yes
7,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,18.441151515151518,105,0.1386552745500114,0.7894736842105263,Large Dormitory-Style,Partial
-1,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,0,18.099993443052917,164,inf,inf,,Yes
4,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,17.445095781429917,156,inf,inf,,Partial
18,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,17.41311180960934,120,0.1309256527038296,0.9022556390977444,Large Dormitory-Style,Partial
3,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,146,17.340883419535103,142,0.1187731741064048,0.9726027397260274,,Yes
2,25 BUICK STREET,42.3519,-71.1152,Administrative,200,17.340558072487646,175,0.0867027903624382,0.875,,Yes
3,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,317,17.324174819420318,197,0.0546503937521145,0.6214511041009464,,Yes
1,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,17.142632076462558,173,inf,inf,,Partial
4,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,336,17.102079589216945,154,0.050899046396479,0.4583333333333333,,Yes
16,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,16.771060821859997,90,0.1260982016681202,0.6766917293233082,Large Dormitory-Style,Partial
2,2 SILBER WAY,42.3497,-71.1009,Academic,134,16.44553957558081,105,0.1227279072804538,0.7835820895522388,,Yes
3,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,185,16.386351218446073,237,0.0885748714510598,1.281081081081081,,Yes
